date,trust,dept,beds,patients,source_file,nurses_min_needed
2024-10-01,AIREDALE NHS FOUNDATION TRUST,Critical Care Adult,9,9,October 2024 Beds Sitrep Data.csv,5
2024-11-01,AIREDALE NHS FOUNDATION TRUST,Critical Care Adult,7,6,Beds Sitrep Data Nov 2024.csv,3
2024-10-01,AIREDALE NHS FOUNDATION TRUST,G&A Adult,330,323,October 2024 Beds Sitrep Data.csv,65
2024-11-01,AIREDALE NHS FOUNDATION TRUST,G&A Adult,340,328,Beds Sitrep Data Nov 2024.csv,66
2024-10-01,AIREDALE NHS FOUNDATION TRUST,G&A Paediatric,15,10,October 2024 Beds Sitrep Data.csv,3
2024-11-01,AIREDALE NHS FOUNDATION TRUST,G&A Paediatric,15,13,Beds Sitrep Data Nov 2024.csv,4
2024-10-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Critical Care Adult,0,0,October 2024 Beds Sitrep Data.csv,0
2024-11-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Critical Care Adult,0,0,Beds Sitrep Data Nov 2024.csv,0
2024-10-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,G&A Adult,0,0,October 2024 Beds Sitrep Data.csv,0
2024-11-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,G&A Adult,0,0,Beds Sitrep Data Nov 2024.csv,0
2024-10-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,G&A Paediatric,202,156,October 2024 Beds Sitrep Data.csv,39
2024-11-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,G&A Paediatric,206,163,Beds Sitrep Data Nov 2024.csv,41
2024-10-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Critical Care Adult,11,9,October 2024 Beds Sitrep Data.csv,5
2024-11-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Critical Care Adult,11,10,Beds Sitrep Data Nov 2024.csv,5
2024-10-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,G&A Adult,424,399,October 2024 Beds Sitrep Data.csv,80
2024-11-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,G&A Adult,421,397,Beds Sitrep Data Nov 2024.csv,80
2024-10-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,G&A Paediatric,20,15,October 2024 Beds Sitrep Data.csv,4
2024-11-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,G&A Paediatric,20,17,Beds Sitrep Data Nov 2024.csv,5
2024-12-01,Airedale NHS Foundation Trust,Critical Care Adult,7,5,Dec 2024 Beds Sitrep Data.csv,3
2025-01-01,Airedale NHS Foundation Trust,Critical Care Adult,7,6,Beds Sitrep Data Jan 2025.csv,3
2025-02-01,Airedale NHS Foundation Trust,Critical Care Adult,7,5,Beds Sitrep Data Feb 2025.csv,3
2025-03-01,Airedale NHS Foundation Trust,Critical Care Adult,7,5,Beds Situation Report March 2025.csv,3
2024-12-01,Airedale NHS Foundation Trust,G&A Adult,347,328,Dec 2024 Beds Sitrep Data.csv,66
2025-01-01,Airedale NHS Foundation Trust,G&A Adult,381,367,Beds Sitrep Data Jan 2025.csv,74
2025-02-01,Airedale NHS Foundation Trust,G&A Adult,367,351,Beds Sitrep Data Feb 2025.csv,71
2025-03-01,Airedale NHS Foundation Trust,G&A Adult,357,339,Beds Situation Report March 2025.csv,68
2024-12-01,Airedale NHS Foundation Trust,G&A Paediatric,15,12,Dec 2024 Beds Sitrep Data.csv,3
2025-01-01,Airedale NHS Foundation Trust,G&A Paediatric,15,10,Beds Sitrep Data Jan 2025.csv,3
2025-02-01,Airedale NHS Foundation Trust,G&A Paediatric,15,13,Beds Sitrep Data Feb 2025.csv,4
2025-03-01,Airedale NHS Foundation Trust,G&A Paediatric,15,10,Beds Situation Report March 2025.csv,3
2024-12-01,Alder Hey Children's NHS Foundation Trust,Critical Care Adult,0,0,Dec 2024 Beds Sitrep Data.csv,0
2025-01-01,Alder Hey Children's NHS Foundation Trust,Critical Care Adult,0,0,Beds Sitrep Data Jan 2025.csv,0
2025-02-01,Alder Hey Children's NHS Foundation Trust,Critical Care Adult,0,0,Beds Sitrep Data Feb 2025.csv,0
2025-03-01,Alder Hey Children's NHS Foundation Trust,Critical Care Adult,0,0,Beds Situation Report March 2025.csv,0
