trust,dept,beds,extra_beds,pred_patients,nurses_alloc,served,shortage,solver,status
Airedale NHS Foundation Trust,Critical Care Adult,7.0,1.0000391236230722e-31,5.333333333333333,3.0,6.0,0.0,OSQP,optimal
Airedale NHS Foundation Trust,G&A Adult,357.0,1.0000391236230722e-31,348.6666666666667,70.0,350.0,0.0,OSQP,optimal
Airedale NHS Foundation Trust,G&A Paediatric,15.0,1.0000391236230722e-31,11.666666666666666,3.0,12.0,0.0,OSQP,optimal
Alder Hey Children's NHS Foundation Trust,G&A Paediatric,203.0,1.0000391236230722e-31,164.0,41.0,164.0,0.0,OSQP,optimal
Ashford and St Peter's Hospitals NHS Foundation Trust,Critical Care Adult,11.0,1.0000391236230722e-31,9.666666666666666,5.0,10.0,0.0,OSQP,optimal
Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Adult,438.0,1.0000391236230722e-31,409.0,82.0,410.0,0.0,OSQP,optimal
Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Paediatric,20.0,1.0000391236230722e-31,14.666666666666666,4.0,16.0,0.0,OSQP,optimal
"Barking, Havering and Redbridge University Hospitals NHS Trust",Critical Care Adult,57.0,1.0000391236230722e-31,47.333333333333336,24.0,48.0,0.0,OSQP,optimal
"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Adult,992.0,1.0000391236230722e-31,861.6666666666666,172.0,860.0,1.6666666666666288,OSQP,optimal
"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Paediatric,39.0,1.0000391236230722e-31,33.0,8.0,32.0,1.0,OSQP,optimal
Barnsley Hospital NHS Foundation Trust,Critical Care Adult,25.0,1.0000391236230722e-31,18.0,9.0,18.0,0.0,OSQP,optimal
Barnsley Hospital NHS Foundation Trust,G&A Adult,469.0,1.0000391236230722e-31,457.6666666666667,92.0,460.0,0.0,OSQP,optimal
Barnsley Hospital NHS Foundation Trust,G&A Paediatric,8.0,1.0000391236230722e-31,5.0,1.0,4.0,1.0,OSQP,optimal
Barts Health NHS Trust,Critical Care Adult,112.0,1.0000391236230722e-31,105.0,52.0,104.0,1.0,OSQP,optimal
Barts Health NHS Trust,G&A Adult,1527.0,1.0000391236230722e-31,1395.3333333333333,279.0,1395.0,0.33333333333325754,OSQP,optimal
Barts Health NHS Trust,G&A Paediatric,161.0,1.0000391236230722e-31,122.33333333333331,31.0,124.0,0.0,OSQP,optimal
Bedfordshire Hospitals NHS Foundation Trust,Critical Care Adult,26.0,1.0000391236230722e-31,16.333333333333332,8.0,16.0,0.33333333333333215,OSQP,optimal
Bedfordshire Hospitals NHS Foundation Trust,G&A Adult,980.0,1.0000391236230722e-31,955.6666666666666,191.0,955.0,0.6666666666666288,OSQP,optimal
